RatID,NovelSide,Sex,Treatment
rat01,R,M,Control
rat02,L,M,Control
rat03,R,M,Control
rat04,L,M,Control
rat05,R,F,Control
rat06,L,F,Control
rat07,R,F,Control
rat08,L,F,Control
rat09,R,M,ASO
rat10,L,M,ASO
rat11,R,M,ASO
rat12,L,M,ASO
rat13,R,F,ASO
rat14,L,F,ASO
rat15,R,F,ASO
rat16,L,F,ASO
rat17,R,M,Control
rat18,L,M,Control
rat19,R,M,Control
rat20,L,M,Control
rat21,R,F,Control
rat22,L,F,Control
rat23,R,F,Control
rat24,L,F,Control
rat25,R,M,ASO
rat26,L,M,ASO
rat27,R,M,ASO
rat28,L,M,ASO
rat29,R,F,ASO
rat30,L,F,ASO
rat31,R,F,ASO
rat32,L,F,ASO
rat01F,R,F,Control
rat01M,R,M,Control
rat02F,L,F,Control
rat02M,L,M,Control
rat03F,R,F,ASO
rat03M,R,M,ASO
rat04F,L,F,ASO
rat04M,L,M,ASO
rat05F,R,F,Control
rat05M,R,M,Control
rat06F,L,F,Control
rat06M,L,M,Control
rat07F,R,F,ASO
rat07M,R,M,ASO
rat08F,L,F,ASO
rat08M,L,M,ASO
