"","RatID","Sex","Treatment","Distance (cm)","Velocity (cm/s)","st","distance_standardised"
"1","rat01","M","Control",3544.73122616271,5.73605346680753,"M Control",34.4163208008452
"2","rat02","M","Control",2750.38461404891,4.48732416552459,"M Control",26.9239449931475
"3","rat03","M","Control",2793.68721224811,4.55920839486853,"M Control",27.3552503692112
"4","rat04","M","Control",4064.65423655152,6.59923540043039,"M Control",39.5954124025823
"5","rat05","F","Control",4047.4588771927,6.63183113174162,"F Control",39.7909867904497
"6","rat06","F","Control",3423.003164737,5.49900292879262,"F Control",32.9940175727557
"7","rat07","F","Control",3119.44606535689,5.07808758959004,"F Control",30.4685255375402
"8","rat08","F","Control",3767.11206887514,6.13541795772647,"F Control",36.8125077463588
"9","rat09","M","ASO",3451.75285413632,5.77220033804,"M ASO",34.63320202824
"10","rat10","M","ASO",3519.25502039434,5.71484427473134,"M ASO",34.2890656483881
"11","rat11","M","ASO",4010.55375117247,6.47908521998783,"M ASO",38.874511319927
"12","rat12","M","ASO",3029.2847987516,5.15351288110995,"M ASO",30.9210772866597
"13","rat13","F","ASO",3483.61791054951,5.64633224104474,"F ASO",33.8779934462684
"14","rat14","F","ASO",2914.50402301761,4.76252119417852,"F ASO",28.5751271650711
"15","rat15","F","ASO",3947.42895685583,6.41922226103298,"F ASO",38.5153335661979
"16","rat16","F","ASO",4103.18416803887,6.62091161459747,"F ASO",39.7254696875848
"17","rat17","M","Control",3089.5016573363,4.96792293175407,"M Control",29.8075375905244
"18","rat18","M","Control",3545.31429739879,5.86291279154578,"M Control",35.1774767492747
"19","rat19","M","Control",3674.23946821009,6.66831119457366,"M Control",40.009867167442
"20","rat20","M","Control",4206.81330389201,7.26160749639185,"M Control",43.5696449783511
"21","rat21","F","Control",3290.0820972321,5.34659800874901,"F Control",32.0795880524941
"22","rat22","F","Control",3703.67957146931,6.0440655323266,"F Control",36.2643931939596
"23","rat23","F","Control",3311.2600340058,5.40417112009231,"F Control",32.4250267205538
"24","rat24","F","Control",3969.03971913966,6.53930464576422,"F Control",39.2358278745853
"25","rat25","M","ASO",3252.59727715225,8.70503262820509,"M ASO",52.2301957692306
"26","rat26","M","ASO",3156.93617212703,5.21310949244125,"M ASO",31.2786569546475
"27","rat27","M","ASO",4361.64049119948,7.23643757623694,"M ASO",43.4186254574216
"28","rat28","M","ASO",3712.70081134335,6.04772955889322,"M ASO",36.2863773533593
"29","rat31","F","ASO",3192.20290411307,5.40411577648034,"F ASO",32.424694658882
"30","rat32","F","ASO",3971.76314870935,6.38309789362254,"F ASO",38.2985873617352
